source_id,filename,status,usage_tag,sha256,size_bytes,detected_type,content_type,url,local_path,retrieved_at,last_verified_at,detail
ceeb-history-1901-1905,examinationques01boargoog.pdf,collected,PUBLIC_DOMAIN,f7630a91264a88378ace38618cbe015c4f06126ff7e0825b105498cd6d9c90e4,1718491,pdf,application/pdf,https://archive.org/download/examinationques01boargoog/examinationques01boargoog.pdf,data\raw\ceeb-history-1901-1905\examinationques01boargoog.pdf,2026-07-14T22:18:28Z,2026-07-14T22:26:39Z,ok: magic-bytes and size checks passed
ceeb-history-c1915,questexamination00collrich.pdf,collected,PUBLIC_DOMAIN,ca9ffe1f4f1af16b3929beb81599a8cbfa5dd2b8ed50c7f006fd82bd660b2ccd,2100642,pdf,application/pdf,https://archive.org/download/questexamination00collrich/questexamination00collrich.pdf,data\raw\ceeb-history-c1915\questexamination00collrich.pdf,2026-07-14T22:18:18Z,2026-07-14T22:26:38Z,ok: magic-bytes and size checks passed
ceeb-math-1911-1915,questmathematics00collrich.pdf,collected,PUBLIC_DOMAIN,c5bb7f7be6f779be38dbf3e49b6e897141c5275671ca83c6b3c4169f140fcd8e,3545439,pdf,application/pdf,https://archive.org/download/questmathematics00collrich/questmathematics00collrich.pdf,data\raw\ceeb-math-1911-1915\questmathematics00collrich.pdf,2026-07-14T22:18:00Z,2026-07-14T22:26:36Z,ok: magic-bytes and size checks passed
ceeb-math-1916-1920,mathematicsquest00collrich.pdf,collected,PUBLIC_DOMAIN,d3c4c5f0cfd145497df53adf07a279e3e857ec8b607955216a08c4aed6ebd6f9,6238807,pdf,application/pdf,https://archive.org/download/mathematicsquest00collrich/mathematicsquest00collrich.pdf,data\raw\ceeb-math-1916-1920\mathematicsquest00collrich.pdf,2026-07-14T22:18:10Z,2026-07-14T22:26:37Z,ok: magic-bytes and size checks passed
collegeboard-paper-practice-tests,,blocked_robots,RESTRICTED_INTERNAL_USE_ONLY_DO_NOT_REDISTRIBUTE,,,,,https://satsuite.collegeboard.org/sat/practice-preparation/practice-tests/paper,,,2026-07-14T22:26:54Z,resolution failed (robots gate: robots.txt unreachable (RuntimeError): treating host as closed to automation); route to manual intake: place files in data/raw/_inbox/collegeboard-paper-practice-tests/ and run --intake
collegeboard-paper-practice-tests,sat-practice-test-4-answers-digital.pdf,manual_intake,RESTRICTED_INTERNAL_USE_ONLY_DO_NOT_REDISTRIBUTE,ee2ed6b3a5d77994b6e6ad460137f6959c5b142695ae20e0bb28089171649b56,823345,pdf,application/pdf (reconciled),manual-download:https://satsuite.collegeboard.org/sat/practice-preparation/practice-tests/paper#sat-practice-test-4-answers-digital.pdf,data\raw\collegeboard-paper-practice-tests\sat-practice-test-4-answers-digital.pdf,2026-07-15T04:05:29Z,2026-07-15T04:05:29Z,adopted by reconciliation: file was placed directly in the source folder (bypassing _inbox); validated and hashed on 2026-07-15T04:05:29Z
collegeboard-paper-practice-tests,sat-practice-test-4-digital.pdf,manual_intake,RESTRICTED_INTERNAL_USE_ONLY_DO_NOT_REDISTRIBUTE,5d4a55e241f46beec90c6f273c346be6b6d5231127d73068083d881aa2a37d7a,10537564,pdf,application/pdf (reconciled),manual-download:https://satsuite.collegeboard.org/sat/practice-preparation/practice-tests/paper#sat-practice-test-4-digital.pdf,data\raw\collegeboard-paper-practice-tests\sat-practice-test-4-digital.pdf,2026-07-15T04:05:29Z,2026-07-15T04:05:29Z,adopted by reconciliation: file was placed directly in the source folder (bypassing _inbox); validated and hashed on 2026-07-15T04:05:29Z
collegeboard-paper-practice-tests,sat-practice-test-5-answers-digital.pdf,manual_intake,RESTRICTED_INTERNAL_USE_ONLY_DO_NOT_REDISTRIBUTE,5d2c03b2b32713c7aad5e209947b48eee9e0e012297f178df8ce01058fb1f006,871419,pdf,application/pdf (reconciled),manual-download:https://satsuite.collegeboard.org/sat/practice-preparation/practice-tests/paper#sat-practice-test-5-answers-digital.pdf,data\raw\collegeboard-paper-practice-tests\sat-practice-test-5-answers-digital.pdf,2026-07-15T04:05:29Z,2026-07-15T04:05:29Z,adopted by reconciliation: file was placed directly in the source folder (bypassing _inbox); validated and hashed on 2026-07-15T04:05:29Z
collegeboard-paper-practice-tests,sat-practice-test-5-digital.pdf,manual_intake,RESTRICTED_INTERNAL_USE_ONLY_DO_NOT_REDISTRIBUTE,1dc2a1f5cbae120433b84417306d68b4f1917f5a0283838f95aad145a86d269f,4093468,pdf,application/pdf (reconciled),manual-download:https://satsuite.collegeboard.org/sat/practice-preparation/practice-tests/paper#sat-practice-test-5-digital.pdf,data\raw\collegeboard-paper-practice-tests\sat-practice-test-5-digital.pdf,2026-07-15T04:05:29Z,2026-07-15T04:05:29Z,adopted by reconciliation: file was placed directly in the source folder (bypassing _inbox); validated and hashed on 2026-07-15T04:05:29Z
collegeboard-paper-practice-tests,sat-practice-test-6-answers-digital.pdf,manual_intake,RESTRICTED_INTERNAL_USE_ONLY_DO_NOT_REDISTRIBUTE,23d75907303981196f06d0abb22f46388271d4f163cd84fa54898e10855c7806,637912,pdf,application/pdf (reconciled),manual-download:https://satsuite.collegeboard.org/sat/practice-preparation/practice-tests/paper#sat-practice-test-6-answers-digital.pdf,data\raw\collegeboard-paper-practice-tests\sat-practice-test-6-answers-digital.pdf,2026-07-15T04:05:29Z,2026-07-15T04:05:29Z,adopted by reconciliation: file was placed directly in the source folder (bypassing _inbox); validated and hashed on 2026-07-15T04:05:29Z
collegeboard-paper-practice-tests,sat-practice-test-6-digital.pdf,manual_intake,RESTRICTED_INTERNAL_USE_ONLY_DO_NOT_REDISTRIBUTE,8875ed0d09ae88a42aa7464897c10adc1ac5a1d90eb3f72c59de7d9926860cb4,3380208,pdf,application/pdf (reconciled),manual-download:https://satsuite.collegeboard.org/sat/practice-preparation/practice-tests/paper#sat-practice-test-6-digital.pdf,data\raw\collegeboard-paper-practice-tests\sat-practice-test-6-digital.pdf,2026-07-15T04:05:29Z,2026-07-15T04:05:29Z,adopted by reconciliation: file was placed directly in the source folder (bypassing _inbox); validated and hashed on 2026-07-15T04:05:29Z
collegeboard-paper-practice-tests,sat-practice-test-7-answers-digital.pdf,manual_intake,RESTRICTED_INTERNAL_USE_ONLY_DO_NOT_REDISTRIBUTE,8e3ab9aae3020e98efecbc74e192c861eb4ef95b81255f83996d3113bf6f317d,1359981,pdf,application/pdf (reconciled),manual-download:https://satsuite.collegeboard.org/sat/practice-preparation/practice-tests/paper#sat-practice-test-7-answers-digital.pdf,data\raw\collegeboard-paper-practice-tests\sat-practice-test-7-answers-digital.pdf,2026-07-15T04:05:29Z,2026-07-15T04:05:29Z,adopted by reconciliation: file was placed directly in the source folder (bypassing _inbox); validated and hashed on 2026-07-15T04:05:29Z
collegeboard-paper-practice-tests,sat-practice-test-7-digital.pdf,manual_intake,RESTRICTED_INTERNAL_USE_ONLY_DO_NOT_REDISTRIBUTE,143e32c84c0ab481e21d5736763b6504fadbb4067fcb381520816c179c9257a0,4652515,pdf,application/pdf (reconciled),manual-download:https://satsuite.collegeboard.org/sat/practice-preparation/practice-tests/paper#sat-practice-test-7-digital.pdf,data\raw\collegeboard-paper-practice-tests\sat-practice-test-7-digital.pdf,2026-07-15T04:05:29Z,2026-07-15T04:05:29Z,adopted by reconciliation: file was placed directly in the source folder (bypassing _inbox); validated and hashed on 2026-07-15T04:05:29Z
collegeboard-paper-practice-tests,scoring-sat-practice-test-4-digital.pdf,manual_intake,RESTRICTED_INTERNAL_USE_ONLY_DO_NOT_REDISTRIBUTE,c518fd9af053b94417040a90f74e9f85763e0be759a5efdf3c86b13f60566262,950523,pdf,application/pdf (reconciled),manual-download:https://satsuite.collegeboard.org/sat/practice-preparation/practice-tests/paper#scoring-sat-practice-test-4-digital.pdf,data\raw\collegeboard-paper-practice-tests\scoring-sat-practice-test-4-digital.pdf,2026-07-15T04:05:29Z,2026-07-15T04:05:29Z,adopted by reconciliation: file was placed directly in the source folder (bypassing _inbox); validated and hashed on 2026-07-15T04:05:29Z
collegeboard-paper-practice-tests,scoring-sat-practice-test-5-digital.pdf,manual_intake,RESTRICTED_INTERNAL_USE_ONLY_DO_NOT_REDISTRIBUTE,9b145060e5ecae61b02a8671971a56efa3ee6742f7121545a33084816e395306,916802,pdf,application/pdf (reconciled),manual-download:https://satsuite.collegeboard.org/sat/practice-preparation/practice-tests/paper#scoring-sat-practice-test-5-digital.pdf,data\raw\collegeboard-paper-practice-tests\scoring-sat-practice-test-5-digital.pdf,2026-07-15T04:05:29Z,2026-07-15T04:05:29Z,adopted by reconciliation: file was placed directly in the source folder (bypassing _inbox); validated and hashed on 2026-07-15T04:05:29Z
collegeboard-paper-practice-tests,scoring-sat-practice-test-6-digital.pdf,manual_intake,RESTRICTED_INTERNAL_USE_ONLY_DO_NOT_REDISTRIBUTE,6defb1339412b42ffcd18aeecad072cb889d3accd3279693ada2793ddcdf147c,897207,pdf,application/pdf (reconciled),manual-download:https://satsuite.collegeboard.org/sat/practice-preparation/practice-tests/paper#scoring-sat-practice-test-6-digital.pdf,data\raw\collegeboard-paper-practice-tests\scoring-sat-practice-test-6-digital.pdf,2026-07-15T04:05:29Z,2026-07-15T04:05:29Z,adopted by reconciliation: file was placed directly in the source folder (bypassing _inbox); validated and hashed on 2026-07-15T04:05:29Z
collegeboard-paper-practice-tests,scoring-sat-practice-test-7-digital.pdf,manual_intake,RESTRICTED_INTERNAL_USE_ONLY_DO_NOT_REDISTRIBUTE,bc8798ee38af1d96ae6506cbe0a741e730815ae9675c7857d49d0f13762336f3,1775068,pdf,application/pdf (reconciled),manual-download:https://satsuite.collegeboard.org/sat/practice-preparation/practice-tests/paper#scoring-sat-practice-test-7-digital.pdf,data\raw\collegeboard-paper-practice-tests\scoring-sat-practice-test-7-digital.pdf,2026-07-15T04:05:29Z,2026-07-15T04:05:29Z,adopted by reconciliation: file was placed directly in the source folder (bypassing _inbox); validated and hashed on 2026-07-15T04:05:29Z
sat-1926-original,Scholastic_Aptitude_Test__SAT__from_1926.pdf,collected,PUBLIC_DOMAIN,fbf76fa07a1ffa80c4bdba9fe0eae38c8530c3495fd299fbd2d80047341f78c5,924133,pdf,application/pdf,https://upload.wikimedia.org/wikipedia/commons/a/a5/Scholastic_Aptitude_Test_%28SAT%29_from_1926.pdf,data\raw\sat-1926-original\Scholastic_Aptitude_Test__SAT__from_1926.pdf,2026-07-14T22:16:39Z,2026-07-14T22:26:35Z,ok: magic-bytes and size checks passed
wikibooks-sat-study-guide,,skipped,CC_BY_SA_ATTRIBUTION_SHAREALIKE,,,,,https://en.wikibooks.org/wiki/SAT_Study_Guide,,,2026-07-14T22:26:39Z,HTML wiki with almost no question content; approved on license but deprioritized for collection
